schema_name,relation_name,column_name,required,evidence_types,source_files
public,sc_activity_undo_log,reason,True,select,src/lib/inventoryApi.js
public,sc_activity_undo_log,reversal_movement_id,True,select,src/lib/inventoryApi.js
public,sc_activity_undo_log,source_id,True,select,src/lib/inventoryApi.js
public,sc_activity_undo_log,source_table,True,select,src/lib/inventoryApi.js
public,sc_activity_undo_log,undone_at,True,select,src/lib/inventoryApi.js
public,sc_app_user_roles,is_active,True,select,netlify/functions/_shared/security.js
public,sc_app_user_roles,role,True,select,netlify/functions/_shared/security.js
public,sc_app_user_roles,user_id,True,filter,netlify/functions/_shared/security.js
public,sc_approval_production_handoffs,created_at,True,order,src/lib/phase6Api.js
public,sc_artwork_handoff_log_app,created_at,True,order,src/lib/artworkBridgeApi.js
public,sc_artwork_system_handoffs,received_at,True,order,src/lib/artworkSystemApi.js
public,sc_artwork_system_reorders,received_at,True,order,src/lib/artworkSystemApi.js
public,sc_artwork_system_requests,received_at,True,order,src/lib/artworkSystemApi.js
public,sc_audit_log,created_at,True,order,src/lib/phase6Api.js
public,sc_customer_portal_events,created_at,True,order,src/lib/phase6Api.js
public,sc_customer_portal_tokens,created_at,True,order,src/lib/phase6Api.js
public,sc_function_security_audit,action,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,app_role,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,function_name,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,metadata,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,outcome,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,request_id,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,request_origin,True,insert,netlify/functions/_shared/security.js
public,sc_function_security_audit,user_id,True,insert,netlify/functions/_shared/security.js
public,sc_inventory_audit_counts,created_at,True,order,src/lib/phase6Api.js
public,sc_inventory_audit_counts,session_id,True,filter,src/lib/phase6Api.js
public,sc_inventory_audit_sessions,completed_by,True,update,src/lib/phase6Api.js
public,sc_inventory_audit_sessions,created_at,True,order,src/lib/phase6Api.js
public,sc_inventory_audit_sessions,id,True,filter,src/lib/phase6Api.js
public,sc_inventory_audit_sessions,status,True,update,src/lib/phase6Api.js
public,sc_inventory_audit_sessions,updated_at,True,update,src/lib/phase6Api.js
public,sc_manual_invoice_order_items_detail,line_number,True,order,src/lib/manualOrdersApi.js
public,sc_manual_invoice_order_items_detail,manual_order_id,True,filter,src/lib/manualOrdersApi.js
public,sc_manual_invoice_order_totals,created_at,True,order,src/lib/manualOrdersApi.js
public,sc_pricing_rules,id,True,filter,src/PricingRules.jsx | src/QuoteBuilder.jsx
public,sc_pricing_rules,updated_at,True,order,src/PricingRules.jsx | src/QuoteBuilder.jsx
public,sc_production_photos,created_at,True,order,src/lib/phase6Api.js
public,sc_pullsheet_sync_runs,completed_at,True,update,netlify/functions/_shared/pullsheetReservations.js
public,sc_pullsheet_sync_runs,id,True,filter | select,netlify/functions/_shared/pullsheetReservations.js
public,sc_pullsheet_sync_runs,metadata,True,insert,netlify/functions/_shared/pullsheetReservations.js
