schema_name,relation_name,required,usage_scopes,operations,source_files
public,app_blank_inventory_overview_v2,True,frontend_bundle,select,src/lib/inventoryApi.js
public,app_synced_inventory_catalog_v1,True,frontend_bundle,select,src/lib/inventoryApi.js
public,bin_blank_inventory_contents,True,frontend_bundle,select,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bins,True,frontend_bundle,insert | select | update,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,blank_inventory_by_product,True,frontend_bundle,select,src/lib/inventoryApi.js
public,blank_inventory_movements,True,frontend_bundle,select,src/lib/inventoryApi.js
public,blank_products,True,frontend_bundle | netlify_function | relationship_inferred,insert | select | select_related | update | upsert,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products_search,True,frontend_bundle,select,src/lib/inventoryApi.js
public,brands,True,frontend_bundle | relationship_inferred,select | select_related,netlify/functions/manual-pullsheet.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,color_alias_approvals,True,frontend_bundle,select,src/lib/inventoryApi.js
